,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,7,0,0,11,11,4,0,7,6,1,0,12,2,1,0
1,0,0,12,0,0,19,21,7,1,17,15,5,0,18,3,0,0
2,0,0,10,0,0,18,35,1,1,17,17,1,0,19,8,0,0
3,0,0,9,0,0,15,34,0,1,15,17,0,0,18,8,0,0
4,0,25,20,0,0,0,0,0,0,0,1,0,0,24,20,0,0
5,0,4,7,0,0,15,28,2,0,25,13,4,0,11,10,0,0
6,0,6,7,0,2,14,7,9,11,11,3,10,0,6,11,1,0
7,0,5,6,0,1,12,7,9,8,8,3,5,0,4,11,0,0
8,0,0,4,7,0,11,12,3,5,8,15,1,1,16,1,0,0
9,0,0,3,7,0,10,12,3,5,8,12,0,1,15,1,0,0
10,0,2,11,0,5,27,16,16,11,11,11,10,0,19,13,0,0
11,0,1,10,0,1,24,14,14,10,9,11,10,0,18,13,0,0
12,0,2,7,0,0,18,13,0,0,14,2,6,0,6,4,0,0
13,0,2,6,0,0,16,8,0,0,7,1,4,0,5,0,0,0
14,0,0,1,0,0,16,16,13,10,6,12,4,2,3,5,1,0
15,0,0,1,0,0,15,16,11,7,4,12,3,2,2,5,0,0
16,0,5,5,0,0,20,21,1,0,10,21,0,0,11,9,0,0
17,0,5,5,0,0,20,26,0,0,14,21,0,0,12,10,0,0
18,0,5,15,0,1,25,11,12,13,8,13,9,0,20,9,0,0
19,0,4,14,0,0,22,10,11,11,6,11,8,0,18,8,0,0
20,0,0,9,1,0,21,3,9,4,11,13,4,0,17,7,0,0
21,0,0,7,1,0,19,3,9,4,11,11,4,0,14,6,0,0
22,0,0,9,3,0,17,11,14,7,5,11,6,1,12,7,0,0
23,0,0,8,3,0,16,11,13,7,5,11,6,1,12,7,0,0
24,0,1,13,0,0,24,28,2,1,18,19,0,0,21,9,0,0
25,0,0,13,0,0,22,25,1,0,17,18,0,0,19,8,0,0
26,0,4,6,1,3,13,0,7,6,4,9,6,0,12,7,0,0
27,0,3,3,1,1,10,0,5,6,3,8,5,0,11,7,0,0
28,0,0,12,3,0,19,15,10,4,16,18,2,0,18,3,0,0
29,0,0,11,2,0,19,13,9,4,16,16,2,0,18,2,0,0
30,0,2,9,0,1,17,17,1,0,16,7,7,0,10,9,0,0
31,0,2,9,0,0,16,12,0,0,11,4,6,0,8,7,0,0
32,0,0,9,1,0,8,16,8,0,11,15,0,2,13,5,0,0
33,0,0,9,1,0,8,14,5,0,8,13,0,2,9,4,0,0
34,0,4,11,0,0,23,11,6,1,20,14,8,0,13,11,0,0
35,0,4,9,0,0,20,9,5,0,17,12,7,0,13,7,0,0
36,0,1,6,0,0,11,9,0,0,2,11,0,0,9,3,0,0
37,0,1,6,0,0,8,6,0,0,1,8,0,0,9,2,0,0
38,0,1,16,1,0,28,31,7,7,28,30,0,0,19,5,0,0
39,0,1,14,1,0,25,27,7,4,26,27,0,0,19,4,0,0
40,0,0,12,1,0,24,31,6,1,31,27,0,0,16,6,1,0
41,0,0,11,1,0,22,31,5,1,28,25,0,0,16,6,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0,0,12,2,0,32,26,11,11,28,24,0,0,19,6,0,0
44,0,1,16,0,0,28,23,0,1,24,21,0,0,14,6,0,0
45,0,1,14,0,0,25,20,0,0,21,16,0,0,14,2,0,0
46,0,6,8,0,0,21,20,6,0,18,9,10,0,15,13,0,0
47,0,4,7,0,0,21,16,6,0,16,7,9,0,12,10,0,0
48,7,10,4,7,49,35,26,48,46,32,29,49,0,2,0,0,0
49,0,0,9,0,0,14,23,1,3,17,20,0,0,17,5,0,0
50,0,16,6,0,42,26,25,34,25,47,44,25,0,5,1,0,0
51,0,0,10,1,0,21,23,8,10,2,3,8,0,12,8,0,0
52,0,0,7,0,1,22,10,18,3,26,16,0,0,11,1,0,0
53,0,0,6,0,0,19,8,14,3,22,15,0,0,11,1,0,0
54,0,0,11,0,0,22,30,2,2,29,28,0,0,19,2,0,0
55,0,0,11,0,0,20,29,1,2,26,21,0,0,18,2,0,0
56,0,0,13,2,1,23,33,6,5,32,27,0,0,19,6,0,0
57,0,0,10,1,0,22,31,4,3,27,23,0,0,19,6,0,0
58,0,1,7,3,0,31,10,20,6,36,25,9,0,7,5,0,0
59,0,1,7,2,0,29,8,17,4,32,24,7,0,5,3,0,0
60,0,0,8,0,0,24,18,8,4,20,19,7,0,11,5,0,0
61,0,0,11,0,0,32,31,13,13,27,30,10,0,15,7,0,0
62,49,39,37,48,7,0,0,5,12,0,1,14,49,28,40,49,0
63,0,0,11,1,0,23,17,14,2,14,13,7,0,17,9,0,0
64,0,0,15,1,0,31,36,13,9,29,35,5,0,20,10,0,0
65,0,0,12,1,0,28,33,13,7,26,29,4,0,19,10,0,0
66,0,2,7,0,0,29,33,11,6,22,19,7,0,20,9,0,0
67,0,2,6,0,0,25,31,9,4,22,18,6,0,20,7,0,0
68,0,3,10,0,0,25,24,0,0,21,18,0,0,11,4,0,0
69,0,1,12,0,0,24,24,0,0,21,20,0,0,19,8,0,0
70,0,0,9,0,0,23,33,0,1,29,29,0,0,15,8,0,0
71,0,0,9,0,0,21,33,0,1,29,28,0,0,15,8,0,0
72,0,12,10,0,9,48,47,14,9,49,49,10,0,20,12,0,0
73,0,2,6,0,0,18,20,11,6,12,6,6,0,15,8,0,0
74,0,0,9,0,0,23,37,0,1,34,31,0,0,17,5,0,0
75,0,0,8,0,0,22,32,0,1,29,25,0,0,16,4,0,0
76,0,0,1,0,0,16,19,5,7,13,13,1,0,13,2,0,0
77,0,0,3,1,0,20,23,12,10,17,21,2,1,14,2,0,0
78,0,0,0,2,0,16,29,9,9,21,14,0,0,6,0,0,0
79,0,0,0,2,0,15,27,8,9,19,12,0,0,6,0,0,0
80,0,0,4,2,0,19,29,12,11,21,23,0,1,19,2,0,0
81,0,0,2,2,0,16,28,11,9,18,21,0,1,17,2,0,0
82,0,7,6,0,1,14,16,1,1,14,14,3,0,6,14,0,0
83,0,6,6,0,0,13,13,0,0,11,12,0,0,5,12,0,0
84,0,0,11,0,0,23,26,13,9,21,25,5,1,20,5,0,0
85,0,0,8,0,0,18,23,13,9,17,21,5,0,20,4,0,0
86,0,0,2,3,0,25,30,15,8,21,25,2,0,20,7,0,0
87,0,0,0,2,0,24,30,15,8,18,23,1,0,19,7,0,0
88,0,0,1,0,0,13,18,6,3,17,13,4,0,8,2,0,0
89,0,0,1,0,0,22,31,14,9,26,25,5,0,13,3,0,0
90,0,7,5,0,4,7,12,12,6,15,2,11,0,7,12,1,0
91,0,3,4,0,2,4,11,11,3,15,0,4,0,6,9,0,0
92,0,0,10,1,0,37,37,12,9,25,30,4,0,20,7,1,0
93,0,0,10,1,0,34,32,10,8,22,26,3,0,19,7,0,0
94,0,0,10,0,0,24,22,13,9,19,29,2,0,12,3,0,0
95,0,0,6,0,0,23,19,11,6,18,25,1,0,12,3,0,0
96,0,5,6,0,0,24,23,5,0,23,16,8,0,15,8,0,0
97,0,5,3,0,0,22,21,5,0,22,16,7,0,15,7,0,0
98,0,1,11,0,0,11,21,0,0,12,19,0,0,11,7,0,0
99,0,0,8,0,0,8,16,0,0,10,14,0,0,11,4,0,0
100,0,0,6,0,0,15,18,4,4,12,9,0,0,10,2,0,0
101,0,0,12,1,0,26,25,8,9,21,24,0,0,13,2,0,0
102,0,11,14,0,36,49,49,38,30,49,48,29,0,17,11,0,0
103,0,3,11,0,0,14,4,8,3,11,6,6,0,17,11,0,0
104,0,5,9,0,0,18,13,10,3,16,11,8,0,15,9,0,0
105,0,5,9,0,0,15,12,8,2,16,9,8,0,11,9,0,0
106,0,0,1,2,1,25,27,13,17,19,24,1,0,12,2,0,0
107,0,0,1,2,0,23,25,12,11,17,22,0,0,10,2,0,0
108,0,1,6,0,0,22,21,2,0,4,12,2,0,8,5,0,0
109,0,2,7,0,0,27,30,3,0,16,20,2,0,12,9,0,0
110,0,4,8,0,0,15,2,3,5,4,4,5,0,13,11,0,0
111,0,3,9,0,1,17,2,3,6,4,5,6,0,14,11,0,0
112,0,0,4,0,0,35,22,15,11,15,14,10,0,15,8,0,0
113,0,0,4,0,0,30,20,13,9,13,12,8,0,15,8,0,0
114,0,19,14,0,0,0,0,0,0,0,1,0,0,18,12,0,0
115,0,5,9,0,0,16,9,6,0,20,4,10,0,8,12,0,0
116,0,4,5,0,1,10,20,0,1,7,16,0,0,10,9,0,0
117,0,4,4,0,0,9,17,0,0,5,14,0,0,8,7,0,0
118,0,0,12,0,0,23,23,6,4,17,19,0,0,16,5,0,0
119,0,0,12,0,0,20,20,5,3,17,19,0,0,16,5,0,0
120,0,1,7,0,0,23,23,5,0,17,13,5,0,11,12,0,0
121,0,1,5,0,0,22,20,5,0,15,12,4,0,10,9,0,0
122,0,0,11,3,0,19,4,11,4,15,11,6,0,16,6,0,0
123,0,0,8,2,0,19,4,9,3,13,11,3,0,14,5,0,0
124,0,1,7,1,1,21,21,7,5,11,11,4,0,14,10,0,0
125,0,0,5,0,0,16,18,6,4,10,9,4,0,13,8,0,0
126,0,0,7,0,0,14,16,5,5,4,2,4,0,10,6,0,0
127,0,0,11,0,0,19,19,14,9,10,7,9,0,15,12,0,0
128,0,0,6,0,2,31,22,14,18,18,21,13,0,17,7,0,0
129,0,0,5,0,1,26,19,13,14,17,18,11,0,16,6,0,0
130,0,2,2,0,0,30,24,17,9,26,27,7,0,17,3,0,0
131,0,1,1,0,0,28,19,15,9,26,23,7,0,17,3,0,0
132,0,5,13,2,2,21,11,3,5,14,20,0,0,14,14,0,0
133,0,4,13,2,1,20,10,2,4,14,16,0,0,12,9,0,0
134,0,0,14,0,0,22,11,5,0,13,11,5,0,13,10,0,0
135,0,0,8,0,0,18,11,4,0,12,11,4,0,12,8,0,0
136,0,1,14,1,1,29,18,8,6,16,22,1,0,17,7,0,0
137,0,1,13,1,0,26,16,8,5,13,21,0,0,17,7,0,0
138,0,2,15,0,0,27,24,4,3,21,20,4,0,17,11,0,0
139,0,2,14,0,0,26,22,3,3,19,17,4,0,16,10,0,0
140,24,3,5,30,0,28,30,6,0,22,25,3,28,18,3,35,0
141,0,2,4,0,0,24,30,6,0,21,22,1,0,17,3,0,0
142,0,3,11,1,0,27,14,15,6,13,14,7,0,18,11,0,0
